Date,Confirmed,Recovered,Deaths,Active,ConfirmDiff,DeathsDiff,RecoverDiff,ActiveDiff,Month,Day
2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,1,22
2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,1,23
2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,1,24
2020-01-25,3,0,0,3,3.0,0.0,0.0,3.0,1,25
2020-01-26,4,0,0,4,1.0,0.0,0.0,1.0,1,26
2020-01-27,4,0,0,4,0.0,0.0,0.0,0.0,1,27
2020-01-28,4,0,0,4,0.0,0.0,0.0,0.0,1,28
2020-01-29,7,0,0,7,3.0,0.0,0.0,3.0,1,29
2020-01-30,8,0,0,8,1.0,0.0,0.0,1.0,1,30
2020-01-31,8,0,0,8,0.0,0.0,0.0,0.0,1,31
2020-02-01,8,0,0,8,0.0,0.0,0.0,0.0,2,1
2020-02-02,8,0,0,8,0.0,0.0,0.0,0.0,2,2
2020-02-03,8,0,0,8,0.0,0.0,0.0,0.0,2,3
2020-02-04,10,0,0,10,2.0,0.0,0.0,2.0,2,4
2020-02-05,12,0,0,12,2.0,0.0,0.0,2.0,2,5
2020-02-06,12,0,0,12,0.0,0.0,0.0,0.0,2,6
2020-02-07,12,1,0,11,0.0,0.0,1.0,-1.0,2,7
2020-02-08,16,1,0,15,4.0,0.0,0.0,4.0,2,8
2020-02-09,16,1,0,15,0.0,0.0,0.0,0.0,2,9
2020-02-10,18,1,0,17,2.0,0.0,0.0,2.0,2,10
2020-02-11,18,3,0,15,0.0,0.0,2.0,-2.0,2,11
2020-02-12,18,3,0,15,0.0,0.0,0.0,0.0,2,12
2020-02-13,19,3,0,16,1.0,0.0,0.0,1.0,2,13
2020-02-14,19,3,0,16,0.0,0.0,0.0,0.0,2,14
2020-02-15,22,7,0,15,3.0,0.0,4.0,-1.0,2,15
2020-02-16,22,7,0,15,0.0,0.0,0.0,0.0,2,16
2020-02-17,22,7,0,15,0.0,0.0,0.0,0.0,2,17
2020-02-18,22,13,0,9,0.0,0.0,6.0,-6.0,2,18
2020-02-19,22,15,0,7,0.0,0.0,2.0,-2.0,2,19
2020-02-20,22,15,0,7,0.0,0.0,0.0,0.0,2,20
2020-02-21,22,15,0,7,0.0,0.0,0.0,0.0,2,21
2020-02-22,22,15,0,7,0.0,0.0,0.0,0.0,2,22
2020-02-23,22,15,0,7,0.0,0.0,0.0,0.0,2,23
2020-02-24,22,18,0,4,0.0,0.0,3.0,-3.0,2,24
2020-02-25,22,18,0,4,0.0,0.0,0.0,0.0,2,25
2020-02-26,22,18,0,4,0.0,0.0,0.0,0.0,2,26
2020-02-27,23,18,0,5,1.0,0.0,0.0,1.0,2,27
2020-02-28,23,18,0,5,0.0,0.0,0.0,0.0,2,28
2020-02-29,25,18,0,7,2.0,0.0,0.0,2.0,2,29
2020-03-01,29,18,0,11,4.0,0.0,0.0,4.0,3,1
2020-03-02,29,18,0,11,0.0,0.0,0.0,0.0,3,2
2020-03-03,36,22,0,14,7.0,0.0,4.0,3.0,3,3
2020-03-04,50,22,0,28,14.0,0.0,0.0,14.0,3,4
2020-03-05,50,22,0,28,0.0,0.0,0.0,0.0,3,5
2020-03-06,83,22,0,61,33.0,0.0,0.0,33.0,3,6
2020-03-07,93,23,0,70,10.0,0.0,1.0,9.0,3,7
2020-03-08,99,24,0,75,6.0,0.0,1.0,5.0,3,8
2020-03-09,117,24,0,93,18.0,0.0,0.0,18.0,3,9
2020-03-10,129,24,0,105,12.0,0.0,0.0,12.0,3,10
2020-03-11,149,26,0,123,20.0,0.0,2.0,18.0,3,11
2020-03-12,149,26,0,123,0.0,0.0,0.0,0.0,3,12
2020-03-13,197,26,0,171,48.0,0.0,0.0,48.0,3,13
2020-03-14,238,35,0,203,41.0,0.0,9.0,32.0,3,14
2020-03-15,428,42,0,386,190.0,0.0,7.0,183.0,3,15
2020-03-16,566,42,0,524,138.0,0.0,0.0,138.0,3,16
2020-03-17,673,49,2,622,107.0,2.0,7.0,98.0,3,17
2020-03-18,790,60,2,728,117.0,0.0,11.0,106.0,3,18
2020-03-19,900,75,2,823,110.0,0.0,15.0,95.0,3,19
2020-03-20,1030,87,3,940,130.0,1.0,12.0,117.0,3,20
2020-03-21,1183,114,4,1065,153.0,1.0,27.0,125.0,3,21
2020-03-22,1306,139,10,1157,123.0,6.0,25.0,92.0,3,22
2020-03-23,1518,139,14,1365,212.0,4.0,0.0,208.0,3,23
2020-03-24,1624,183,16,1425,106.0,2.0,44.0,60.0,3,24
2020-03-25,1796,199,20,1577,172.0,4.0,16.0,152.0,3,25
2020-03-26,2031,215,23,1793,235.0,3.0,16.0,216.0,3,26
2020-03-27,2161,259,26,1876,130.0,3.0,44.0,83.0,3,27
2020-03-28,2320,320,27,1973,159.0,1.0,61.0,97.0,3,28
2020-03-29,2470,388,35,2047,150.0,8.0,68.0,74.0,3,29
2020-03-30,2626,479,37,2110,156.0,2.0,91.0,63.0,3,30
2020-03-31,2766,537,43,2186,140.0,6.0,58.0,76.0,3,31
2020-04-01,2908,645,45,2218,142.0,2.0,108.0,32.0,4,1
2020-04-02,3116,767,50,2299,208.0,5.0,122.0,81.0,4,2
2020-04-03,3333,827,53,2453,217.0,3.0,60.0,154.0,4,3
2020-04-04,3483,915,57,2511,150.0,4.0,88.0,58.0,4,4
2020-04-05,3662,1005,61,2596,179.0,4.0,90.0,85.0,4,5
2020-04-06,3793,1241,62,2490,131.0,1.0,236.0,-106.0,4,6
2020-04-07,3963,1321,63,2579,170.0,1.0,80.0,89.0,4,7
2020-04-08,4119,1487,65,2567,156.0,2.0,166.0,-12.0,4,8
2020-04-09,4228,1608,67,2553,109.0,2.0,121.0,-14.0,4,9
2020-04-10,4346,1830,70,2446,118.0,3.0,222.0,-107.0,4,10
2020-04-11,4530,1995,73,2462,184.0,3.0,165.0,16.0,4,11
2020-04-12,4683,2108,76,2499,153.0,3.0,113.0,37.0,4,12
2020-04-13,4817,2276,77,2464,134.0,1.0,168.0,-35.0,4,13
2020-04-14,4987,2478,82,2427,170.0,5.0,202.0,-37.0,4,14
2020-04-15,5072,2647,83,2342,85.0,1.0,169.0,-85.0,4,15
2020-04-16,5182,2766,84,2332,110.0,1.0,119.0,-10.0,4,16
2020-04-17,5251,2967,86,2198,69.0,2.0,201.0,-134.0,4,17
2020-04-18,5305,3102,88,2115,54.0,2.0,135.0,-83.0,4,18
2020-04-19,5389,3197,89,2103,84.0,1.0,95.0,-12.0,4,19
2020-04-20,5425,3295,89,2041,36.0,0.0,98.0,-62.0,4,20
2020-04-21,5482,3349,92,2041,57.0,3.0,54.0,0.0,4,21
2020-04-22,5532,3452,93,1987,50.0,1.0,103.0,-54.0,4,22
2020-04-23,5603,3542,95,1966,71.0,2.0,90.0,-21.0,4,23
2020-04-24,5691,3663,96,1932,88.0,1.0,121.0,-34.0,4,24
2020-04-25,5742,3762,98,1882,51.0,2.0,99.0,-50.0,4,25
2020-04-26,5780,3862,98,1820,38.0,0.0,100.0,-62.0,4,26
2020-04-27,5820,3957,99,1764,40.0,1.0,95.0,-56.0,4,27
2020-04-28,5851,4032,100,1719,31.0,1.0,75.0,-45.0,4,28
2020-04-29,5945,4087,100,1758,94.0,0.0,55.0,39.0,4,29
2020-04-30,6002,4171,102,1729,57.0,2.0,84.0,-29.0,4,30
2020-05-01,6071,4210,103,1758,69.0,1.0,39.0,29.0,5,1
2020-05-02,6176,4326,103,1747,105.0,0.0,116.0,-11.0,5,2
2020-05-03,6298,4413,105,1780,122.0,2.0,87.0,33.0,5,3
2020-05-04,6353,4484,105,1764,55.0,0.0,71.0,-16.0,5,4
2020-05-05,6383,4567,106,1710,30.0,1.0,83.0,-54.0,5,5
2020-05-06,6428,4702,107,1619,45.0,1.0,135.0,-91.0,5,6
2020-05-07,6467,4776,107,1584,39.0,0.0,74.0,-35.0,5,7
2020-05-08,6535,4864,107,1564,68.0,0.0,88.0,-20.0,5,8
2020-05-09,6589,4929,108,1552,54.0,1.0,65.0,-12.0,5,9
2020-05-10,6656,5025,108,1523,67.0,0.0,96.0,-29.0,5,10
2020-05-11,6726,5113,109,1504,70.0,1.0,88.0,-19.0,5,11
2020-05-12,6742,5223,109,1410,16.0,0.0,110.0,-94.0,5,12
2020-05-13,6779,5281,111,1387,37.0,2.0,58.0,-23.0,5,13
2020-05-14,6819,5351,112,1356,40.0,1.0,70.0,-31.0,5,14
2020-05-15,6855,5439,112,1304,36.0,0.0,88.0,-52.0,5,15
2020-05-16,6872,5512,113,1247,17.0,1.0,73.0,-57.0,5,16
2020-05-17,6894,5571,113,1210,22.0,0.0,59.0,-37.0,5,17
2020-05-18,6941,5615,113,1213,47.0,0.0,44.0,3.0,5,18
2020-05-19,6978,5646,114,1218,37.0,1.0,31.0,5.0,5,19
2020-05-20,7009,5706,114,1189,31.0,0.0,60.0,-29.0,5,20
2020-05-21,7059,5796,114,1149,50.0,0.0,90.0,-40.0,5,21
2020-05-22,7137,5859,115,1163,78.0,1.0,63.0,14.0,5,22
2020-05-23,7185,5912,115,1158,48.0,0.0,53.0,-5.0,5,23
2020-05-24,7245,5945,115,1185,60.0,0.0,33.0,27.0,5,24
2020-05-25,7417,5979,115,1323,172.0,0.0,34.0,138.0,5,25
2020-05-26,7604,6041,115,1448,187.0,0.0,62.0,125.0,5,26
2020-05-27,7619,6083,115,1421,15.0,0.0,42.0,-27.0,5,27
2020-05-28,7629,6169,115,1345,10.0,0.0,86.0,-76.0,5,28
2020-05-29,7732,6235,115,1382,103.0,0.0,66.0,37.0,5,29
2020-05-30,7762,6330,115,1317,30.0,0.0,95.0,-65.0,5,30
2020-05-31,7819,6353,115,1351,57.0,0.0,23.0,34.0,5,31
2020-06-01,7857,6404,115,1338,38.0,0.0,51.0,-13.0,6,1
2020-06-02,7877,6470,115,1292,20.0,0.0,66.0,-46.0,6,2
2020-06-03,7970,6531,115,1324,93.0,0.0,61.0,32.0,6,3
2020-06-04,8247,6559,115,1573,277.0,0.0,28.0,249.0,6,4
2020-06-05,8266,6610,116,1540,19.0,1.0,51.0,-33.0,6,5
2020-06-06,8303,6635,117,1551,37.0,1.0,25.0,11.0,6,6
2020-06-07,8322,6674,117,1531,19.0,0.0,39.0,-20.0,6,7
2020-06-08,8329,6694,117,1518,7.0,0.0,20.0,-13.0,6,8
2020-06-09,8336,6975,117,1244,7.0,0.0,281.0,-274.0,6,9
2020-06-10,8338,7014,118,1206,2.0,1.0,39.0,-38.0,6,10
2020-06-11,8369,7065,118,1186,31.0,0.0,51.0,-20.0,6,11
2020-06-12,8402,7168,119,1115,33.0,1.0,103.0,-71.0,6,12
2020-06-13,8445,7311,120,1014,43.0,1.0,143.0,-101.0,6,13
2020-06-14,8453,7346,121,986,8.0,1.0,35.0,-28.0,6,14
2020-06-15,8494,7400,121,973,41.0,0.0,54.0,-13.0,6,15
2020-06-16,8505,7733,121,651,11.0,0.0,333.0,-322.0,6,16
2020-06-17,8515,7873,121,521,10.0,0.0,140.0,-130.0,6,17
2020-06-18,8529,8000,121,408,14.0,0.0,127.0,-113.0,6,18
2020-06-19,8535,8070,121,344,6.0,0.0,70.0,-64.0,6,19
2020-06-20,8556,8146,121,289,21.0,0.0,76.0,-55.0,6,20
2020-06-21,8572,8156,121,295,16.0,0.0,10.0,6.0,6,21
2020-06-22,8587,8177,121,289,15.0,0.0,21.0,-6.0,6,22
2020-06-23,8590,8186,121,283,3.0,0.0,9.0,-6.0,6,23
2020-06-24,8596,8231,121,244,6.0,0.0,45.0,-39.0,6,24
2020-06-25,8600,8271,121,208,4.0,0.0,40.0,-36.0,6,25
2020-06-26,8606,8294,121,191,6.0,0.0,23.0,-17.0,6,26
2020-06-27,8616,8308,121,187,10.0,0.0,14.0,-4.0,6,27
2020-06-28,8634,8318,121,195,18.0,0.0,10.0,8.0,6,28
2020-06-29,8637,8334,121,182,3.0,0.0,16.0,-13.0,6,29
2020-06-30,8639,8354,121,164,2.0,0.0,20.0,-18.0,6,30
2020-07-01,8640,8375,121,144,1.0,0.0,21.0,-20.0,7,1
2020-07-02,8643,8437,121,85,3.0,0.0,62.0,-59.0,7,2
2020-07-03,8648,8446,121,81,5.0,0.0,9.0,-4.0,7,3
2020-07-04,8658,8461,121,76,10.0,0.0,15.0,-5.0,7,4
2020-07-05,8663,8465,121,77,5.0,0.0,4.0,1.0,7,5
2020-07-06,8668,8476,121,71,5.0,0.0,11.0,-6.0,7,6
2020-07-07,8674,8481,121,72,6.0,0.0,5.0,1.0,7,7
2020-07-08,8677,8486,121,70,3.0,0.0,5.0,-2.0,7,8
2020-07-09,8683,8499,121,63,6.0,0.0,13.0,-7.0,7,9
2020-07-10,8696,8511,121,64,13.0,0.0,12.0,1.0,7,10
2020-07-11,8704,8515,122,67,8.0,1.0,4.0,3.0,7,11
2020-07-12,8718,8519,122,77,14.0,0.0,4.0,10.0,7,12
2020-07-13,8725,8520,122,83,7.0,0.0,1.0,6.0,7,13
2020-07-14,8729,8524,122,83,4.0,0.0,4.0,0.0,7,14
2020-07-15,8734,8526,122,86,5.0,0.0,2.0,3.0,7,15
2020-07-16,8737,8538,122,77,3.0,0.0,12.0,-9.0,7,16
2020-07-17,8755,8541,122,92,18.0,0.0,3.0,15.0,7,17
2020-07-18,8764,8546,122,96,9.0,0.0,5.0,4.0,7,18
2020-07-19,8779,8553,123,103,15.0,1.0,7.0,7.0,7,19
2020-07-20,8800,8555,123,122,21.0,0.0,2.0,19.0,7,20
2020-07-21,8815,8562,123,130,15.0,0.0,7.0,8.0,7,21
2020-07-22,8831,8566,123,142,16.0,0.0,4.0,12.0,7,22
2020-07-23,8840,8574,123,143,9.0,0.0,8.0,1.0,7,23
2020-07-24,8861,8577,123,161,21.0,0.0,3.0,18.0,7,24
2020-07-25,8884,8594,123,167,23.0,0.0,17.0,6.0,7,25
2020-07-26,8897,8600,124,173,13.0,1.0,6.0,6.0,7,26
2020-07-27,8904,8601,124,179,7.0,0.0,1.0,6.0,7,27
2020-07-28,8943,8607,124,212,39.0,0.0,6.0,33.0,7,28
2020-07-29,8956,8612,124,220,13.0,0.0,5.0,8.0,7,29
2020-07-30,8964,8617,124,223,8.0,0.0,5.0,3.0,7,30
2020-07-31,8976,8644,125,207,12.0,1.0,27.0,-16.0,7,31
2020-08-01,8985,8647,125,213,9.0,0.0,3.0,6.0,8,1
2020-08-02,8999,8664,125,210,14.0,0.0,17.0,-3.0,8,2
2020-08-03,9001,8668,125,208,2.0,0.0,4.0,-2.0,8,3
2020-08-04,9002,8684,125,193,1.0,0.0,16.0,-15.0,8,4
2020-08-05,9023,8702,125,196,21.0,0.0,18.0,3.0,8,5
2020-08-06,9038,8713,125,200,15.0,0.0,11.0,4.0,8,6
2020-08-07,9063,8728,125,210,25.0,0.0,15.0,10.0,8,7
2020-08-08,9070,8775,125,170,7.0,0.0,47.0,-40.0,8,8
2020-08-09,9083,8784,125,174,13.0,0.0,9.0,4.0,8,9
2020-08-10,9094,8803,125,166,11.0,0.0,19.0,-8.0,8,10
2020-08-11,9103,8809,125,169,9.0,0.0,6.0,3.0,8,11
2020-08-12,9114,8817,125,172,11.0,0.0,8.0,3.0,8,12
2020-08-13,9129,8821,125,183,15.0,0.0,4.0,11.0,8,13
2020-08-14,9149,8828,125,196,20.0,0.0,7.0,13.0,8,14
2020-08-15,9175,8831,125,219,26.0,0.0,3.0,23.0,8,15
2020-08-16,9200,8859,125,216,25.0,0.0,28.0,-3.0,8,16
2020-08-17,9212,8876,125,211,12.0,0.0,17.0,-5.0,8,17
2020-08-18,9219,8902,125,192,7.0,0.0,26.0,-19.0,8,18
2020-08-19,9235,8925,125,185,16.0,0.0,23.0,-7.0,8,19
2020-08-20,9240,8932,125,183,5.0,0.0,7.0,-2.0,8,20
2020-08-21,9249,8945,125,179,9.0,0.0,13.0,-4.0,8,21
2020-08-22,9257,8949,125,183,8.0,0.0,4.0,4.0,8,22
2020-08-23,9267,8959,125,183,10.0,0.0,10.0,0.0,8,23
2020-08-24,9274,8965,125,184,7.0,0.0,6.0,1.0,8,24
2020-08-25,9285,8971,125,189,11.0,0.0,6.0,5.0,8,25
2020-08-26,9291,8978,125,188,6.0,0.0,7.0,-1.0,8,26
2020-08-27,9296,8994,125,177,5.0,0.0,16.0,-11.0,8,27
2020-08-28,9306,9030,125,151,10.0,0.0,36.0,-26.0,8,28
2020-08-29,9317,9038,125,154,11.0,0.0,8.0,3.0,8,29
2020-08-30,9334,9048,126,160,17.0,1.0,10.0,6.0,8,30
2020-08-31,9340,9054,127,159,6.0,1.0,6.0,-1.0,8,31
2020-09-01,9354,9075,128,151,14.0,1.0,21.0,-8.0,9,1
2020-09-02,9360,9079,128,153,6.0,0.0,4.0,2.0,9,2
2020-09-03,9374,9083,128,163,14.0,0.0,4.0,10.0,9,3
2020-09-04,9385,9092,128,165,11.0,0.0,9.0,2.0,9,4
2020-09-05,9391,9113,128,150,6.0,0.0,21.0,-15.0,9,5
2020-09-06,9397,9115,128,154,6.0,0.0,2.0,4.0,9,6
2020-09-07,9459,9124,128,207,62.0,0.0,9.0,53.0,9,7
2020-09-08,9559,9136,128,295,100.0,0.0,12.0,88.0,9,8
2020-09-09,9583,9143,128,312,24.0,0.0,7.0,17.0,9,9
2020-09-10,9628,9167,128,333,45.0,0.0,24.0,21.0,9,10
2020-09-11,9810,9181,128,501,182.0,0.0,14.0,168.0,9,11
2020-09-12,9868,9189,128,551,58.0,0.0,8.0,50.0,9,12
2020-09-13,9915,9196,128,591,47.0,0.0,7.0,40.0,9,13
2020-09-14,9946,9203,128,615,31.0,0.0,7.0,24.0,9,14
2020-09-15,9969,9209,128,632,23.0,0.0,6.0,17.0,9,15
2020-09-16,10031,9235,128,668,62.0,0.0,26.0,36.0,9,16
2020-09-17,10052,9250,128,674,21.0,0.0,15.0,6.0,9,17
2020-09-18,10147,9264,129,754,95.0,1.0,14.0,80.0,9,18
2020-09-19,10167,9315,130,722,20.0,1.0,51.0,-32.0,9,19
2020-09-20,10219,9355,130,734,52.0,0.0,40.0,12.0,9,20
2020-09-21,10276,9395,130,751,57.0,0.0,40.0,17.0,9,21
2020-09-22,10358,9563,130,665,82.0,0.0,168.0,-86.0,9,22
2020-09-23,10505,9602,133,770,147.0,3.0,39.0,105.0,9,23
2020-09-24,10576,9666,133,777,71.0,0.0,64.0,7.0,9,24
2020-09-25,10687,9696,133,858,111.0,0.0,30.0,81.0,9,25
2020-09-26,10769,9785,133,851,82.0,0.0,89.0,-7.0,9,26
2020-09-27,10919,9835,134,950,150.0,1.0,50.0,99.0,9,27
2020-09-28,11034,9889,134,1011,115.0,0.0,54.0,61.0,9,28
2020-09-29,11135,9939,134,1062,101.0,0.0,50.0,51.0,9,29
2020-09-30,11224,9967,136,1121,89.0,2.0,28.0,59.0,9,30
2020-10-01,11484,10014,136,1334,260.0,0.0,47.0,213.0,10,1
2020-10-02,11771,10095,136,1540,287.0,0.0,81.0,206.0,10,2
2020-10-03,12088,10216,137,1735,317.0,1.0,121.0,195.0,10,3
2020-10-04,12381,10283,137,1961,293.0,0.0,67.0,226.0,10,4
2020-10-05,12813,10340,137,2336,432.0,0.0,57.0,375.0,10,5
2020-10-06,13504,10427,141,2936,691.0,4.0,87.0,600.0,10,6
2020-10-07,13993,10501,141,3351,489.0,0.0,74.0,415.0,10,7
2020-10-08,14368,10519,146,3703,375.0,5.0,18.0,352.0,10,8
2020-10-09,14722,10707,152,3863,354.0,6.0,188.0,160.0,10,9
2020-10-10,15096,10780,155,4161,374.0,3.0,73.0,298.0,10,10
2020-10-11,15657,10913,157,4587,561.0,2.0,133.0,426.0,10,11
2020-10-12,16220,11022,159,5039,563.0,2.0,109.0,452.0,10,12
2020-10-13,16880,11372,163,5345,660.0,4.0,350.0,306.0,10,13
2020-10-14,17540,11605,167,5768,660.0,4.0,233.0,423.0,10,14
2020-10-15,18129,12014,170,5945,589.0,3.0,409.0,177.0,10,15
2020-10-16,18758,12259,176,6323,629.0,6.0,245.0,378.0,10,16
2020-10-17,19627,12561,180,6886,869.0,4.0,302.0,563.0,10,17
2020-10-18,20498,13262,187,7049,871.0,7.0,701.0,163.0,10,18
2020-10-19,21363,13717,190,7456,865.0,3.0,455.0,407.0,10,19
2020-10-20,22225,14351,193,7681,862.0,3.0,634.0,225.0,10,20
2020-10-21,22957,14931,199,7827,732.0,6.0,580.0,146.0,10,21
2020-10-22,23804,15417,204,8183,847.0,5.0,486.0,356.0,10,22
2020-10-23,24514,15884,214,8416,710.0,10.0,467.0,233.0,10,23
2020-10-24,25742,16555,221,8966,1228.0,7.0,671.0,550.0,10,24
2020-10-25,26565,17134,229,9202,823.0,8.0,579.0,236.0,10,25
2020-10-26,27805,17825,236,9744,1240.0,7.0,691.0,542.0,10,26
2020-10-27,28640,18499,238,9903,835.0,2.0,674.0,159.0,10,27
2020-10-28,29441,19072,246,10123,801.0,8.0,573.0,220.0,10,28
2020-10-29,30090,19757,246,10087,649.0,0.0,685.0,-36.0,10,29
2020-10-30,30889,20248,249,10392,799.0,3.0,491.0,305.0,10,30
2020-10-31,31548,21248,249,10051,659.0,0.0,1000.0,-341.0,10,31
2020-11-01,32505,22220,249,10036,957.0,0.0,972.0,-15.0,11,1
2020-11-02,33339,23120,251,9968,834.0,2.0,900.0,-68.0,11,2
2020-11-03,34393,23995,263,10135,1054.0,12.0,875.0,167.0,11,3
2020-11-04,35425,24815,271,10339,1032.0,8.0,820.0,204.0,11,4
2020-11-05,36434,25654,277,10503,1009.0,6.0,839.0,164.0,11,5
2020-11-06,38189,26380,279,11530,1755.0,2.0,726.0,1027.0,11,6
2020-11-07,39357,27409,282,11666,1168.0,3.0,1029.0,136.0,11,7
2020-11-08,40209,28234,286,11689,852.0,4.0,825.0,23.0,11,8
2020-11-09,41181,29579,294,11308,972.0,8.0,1345.0,-381.0,11,9
2020-11-10,42050,30304,300,11446,869.0,6.0,725.0,138.0,11,10
2020-11-11,42872,31073,302,11497,822.0,2.0,769.0,51.0,11,11
2020-11-12,43791,32069,303,11419,919.0,1.0,996.0,-78.0,11,12
2020-11-13,45095,32969,304,11822,1304.0,1.0,900.0,403.0,11,13
2020-11-14,46209,33772,306,12131,1114.0,2.0,803.0,309.0,11,14
2020-11-15,47417,34785,309,12323,1208.0,3.0,1013.0,192.0,11,15
2020-11-16,48520,35606,313,12601,1103.0,4.0,821.0,278.0,11,16
2020-11-17,49730,36624,318,12788,1210.0,5.0,1018.0,187.0,11,17
2020-11-18,50390,37254,322,12814,660.0,4.0,630.0,26.0,11,18
2020-11-19,51680,38132,326,13222,1290.0,4.0,878.0,408.0,11,19
2020-11-20,52638,39088,329,13221,958.0,3.0,956.0,-1.0,11,20
2020-11-21,53679,40493,332,12854,1041.0,3.0,1405.0,-367.0,11,21
2020-11-22,54775,41597,335,12843,1096.0,3.0,1104.0,-11.0,11,22
2020-11-23,56659,42480,337,13842,1884.0,2.0,883.0,999.0,11,23
2020-11-24,58847,44153,341,14353,2188.0,4.0,1673.0,511.0,11,24
2020-11-25,59817,46501,345,12971,970.0,4.0,2348.0,-1382.0,11,25
